reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 16;;;;
;THighSecurityEnableFormats;HIGH_SECURITY_DISABLED;0;Service level login via password
;THighSecurityEnableFormats;HIGH_SECURITY_ENABLED;1;Service level login via hasher/pin
;;NUMBER_OF_HIGH_SECURITY_ENABLE_STATES;2;THighSecurityEnableFormats numeric limit
;TClientEnableFormats;HART_ENABLED;0;HART Client may login with write access
;TClientEnableFormats;HMI_ENABLED;1;HMI Client may log in with write access
;TClientEnableFormats;HART_AND_HMI_ENABLED;2;HART and HMI Client may log in with write access
;;NUMBER_OF_CLIENT_ENABLE_STATES;3;TClientEnableFormats numeric limit
;TClientLoginFormats;NO_USER;0;No user logged in
;TClientLoginFormats;STANDARD_USER;1;Standard user logged in
;TClientLoginFormats;ADVANCED_USER;2;Advanced user logged in
;TClientLoginFormats;SERVICE_USER;3;Service user logged in
;TClientLoginFormats;CUSTODY_USER;4;Custody user logged in
;;STANDARD_DEFAULT;5;Standard default level
;;ADVANCED_DEFAULT;6;Advanced default level
;;SERVICE_DEFAULT;7;Service default level
;;NUMBER_OF_USER_LOGGED_IN_STATES;8;TClientLoginFormats numeric limit
;TCustodySwitchActiveFormats;CUSTODY_SWITCH_INACTIVE;0;Custody (HW) switch disengaged
;TCustodySwitchActiveFormats;CUSTODY_SWITCH_ACTIVE;1;Custody (HW) switch engaged
;;NUMBER_OF_CUSTODY_SWITCH_STATES;2;TCustodySwitchActiveFormats numeric limit
;TReadOnlySwitchActiveFormats;READ_ONLY_SWITCH_INACTIVE;0;Read-only (HW) switch disengaged
;TReadOnlySwitchActiveFormats;READ_ONLY_SWITCH_ACTIVE;1;Read-only (HW) switch engaged
;;NUMBER_OF_READ_ONLY_SWITCH_STATES;2;TReadOnlySwitchActiveFormats numeric limit
;;STANDARD_DEFAULT_PASSWORD;STANDARD_TARGET_PASSWORD;Meaning dependent on target build
;;ADVANCED_DEFAULT_PASSWORD;ADVANCED_TARGET_PASSWORD;Meaning dependent on target build
;;SERVICE_DEFAULT_PASSWORD;SERVICE_TARGET_PASSWORD;Meaning dependent on target build
;;CLIENT_ENABLE_DEFAULT;CLIENT_ENABLE_TARGET;Meaning dependent on target build
;;STANDARD_DEFAULT_PASSWORD_1;HASH_PASSWORD_NULL_1;Meaning dependent on target build
;;STANDARD_DEFAULT_PASSWORD_2;HASH_PASSWORD_NULL_2;
;;STANDARD_DEFAULT_PASSWORD_3;HASH_PASSWORD_NULL_3;
;;STANDARD_DEFAULT_PASSWORD_4;HASH_PASSWORD_NULL_4;
;;STANDARD_DEFAULT_PASSWORD_5;HASH_PASSWORD_NULL_5;
;;STANDARD_DEFAULT_PASSWORD_6;HASH_PASSWORD_NULL_6;
;;STANDARD_DEFAULT_PASSWORD_7;HASH_PASSWORD_NULL_7;
;;STANDARD_DEFAULT_PASSWORD_8;HASH_PASSWORD_NULL_8;
;;ADVANCED_DEFAULT_PASSWORD_1;HASH_PASSWORD_NULL_1;Meaning dependent on target build
;;ADVANCED_DEFAULT_PASSWORD_2;HASH_PASSWORD_NULL_2;
;;ADVANCED_DEFAULT_PASSWORD_3;HASH_PASSWORD_NULL_3;
;;ADVANCED_DEFAULT_PASSWORD_4;HASH_PASSWORD_NULL_4;
;;ADVANCED_DEFAULT_PASSWORD_5;HASH_PASSWORD_NULL_5;
;;ADVANCED_DEFAULT_PASSWORD_6;HASH_PASSWORD_NULL_6;
;;ADVANCED_DEFAULT_PASSWORD_7;HASH_PASSWORD_NULL_7;
;;ADVANCED_DEFAULT_PASSWORD_8;HASH_PASSWORD_NULL_8;
;;SERVICE_DEFAULT_PASSWORD_1;HASH_PASSWORD_SERVICE_1;Meaning dependent on target build
;;SERVICE_DEFAULT_PASSWORD_2;HASH_PASSWORD_SERVICE_2;
;;SERVICE_DEFAULT_PASSWORD_3;HASH_PASSWORD_SERVICE_3;
;;SERVICE_DEFAULT_PASSWORD_4;HASH_PASSWORD_SERVICE_4;
;;SERVICE_DEFAULT_PASSWORD_5;HASH_PASSWORD_SERVICE_5;
;;SERVICE_DEFAULT_PASSWORD_6;HASH_PASSWORD_SERVICE_6;
;;SERVICE_DEFAULT_PASSWORD_7;HASH_PASSWORD_SERVICE_7;
;;SERVICE_DEFAULT_PASSWORD_8;HASH_PASSWORD_SERVICE_8;
;;CALIBRATION_LOAD;0x55;
