reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 31;;;;
;_AI_SELECT;EXT_TEMPERATURE;0;
;_AI_SELECT;PRESSURE;1;
;_AI_SELECT;PRESSURE_ABS;2;
;_AI_SELECT;DENSITY;3;
;_AI_SELECT;GAS_CONTENT;4;
;_AI_SELECT;EXTERNAL_OUTPUT_CUTOFF;5;
;_AI_SELECT;WITHOUT;6;
;_AI_SELECT;INTER_TEMPERATURE;7;
;_AI_DIAGNOSIS_ALARM_TABLE;ALM_SPICOM_FAIL;0;
;_AI_DIAGNOSIS_ALARM_TABLE;ALM_OUT_OF_RANGE;1;
;_AI_DIAGNOSIS_ALARM_TABLE;ALM_CUT_OFF;2;
;;DIAGNOSIS_ALARM_TABLE_SIZE;3;
;_CALIBRATION_STATE;CALIBRATION_OFF;0;
;_CALIBRATION_STATE;CALIBRATION_START;1;
;_CALIBRATION_STATE;CALIBRATION_STOP;2;
;_EXTERNAL_CUT_OFF_STATUS;EXTERNAL_UNCUT_OFF;0;
;_EXTERNAL_CUT_OFF_STATUS;EXTERNAL_CUT_OFF;1;
;_EXTERNAL_CUT_OFF_OPTION;EXTERNAL_CUT_OFF_4MA;0;
;_EXTERNAL_CUT_OFF_OPTION;EXTERNAL_CUT_OFF_8MA;1;
;_EXTERNAL_CUT_OFF_OPTION;EXTERNAL_CUT_OFF_12MA;2;
