reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 129;;;;
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_CB_SIMUDATA;0;simulation data alarm
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_CB_ALARM;1;Alarm simulation.
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_CB_NV_ERROR;2;EEPROM error
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_CB_MAINTENANCE;3;Maintenance alarm
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_CB_UNCALIBRATED;4;Piezo sensor uncalibrated alarm
;_CDT_DIAGNOSIS_ALARM_TABLE;ALRAM_T_MAX;5;
;_CDT_DIAGNOSIS_ALARM_TABLE;ALRAM_T_MIN;6;
;_CDT_DIAGNOSIS_ALARM_TABLE;VORTEX_SENSOR_CIRCUIT_FAILURE;7;
;_CDT_DIAGNOSIS_ALARM_TABLE;VORTEX_SENSOR_OPEN;8;
;_CDT_DIAGNOSIS_ALARM_TABLE;VORTEX_SENSOR_SHORT;9;
;_CDT_DIAGNOSIS_ALARM_TABLE;VORTEX_SENSOR_DRIFT;10;
;_CDT_DIAGNOSIS_ALARM_TABLE;VIBRAT_SENSOR_CIRCUIT_FAILURE;11;
;_CDT_DIAGNOSIS_ALARM_TABLE;VIBRAT_SENSOR_OPEN;12;
;_CDT_DIAGNOSIS_ALARM_TABLE;VIBRAT_SENSOR_SHORT;13;
;_CDT_DIAGNOSIS_ALARM_TABLE;VIBRAT_SENSOR_DRIFT;14;
;_CDT_DIAGNOSIS_ALARM_TABLE;SYNC_MISSING;15;
;_CDT_DIAGNOSIS_ALARM_TABLE;SNR_FAILURE;16;
;_CDT_DIAGNOSIS_ALARM_TABLE;TEMP_SENSOR_UPPER_LIMIT;17;
;_CDT_DIAGNOSIS_ALARM_TABLE;TEMP_SENSOR_LOWER_LIMIT;18;
;_CDT_DIAGNOSIS_ALARM_TABLE;FE_RAM_FAILURE;19;
;_CDT_DIAGNOSIS_ALARM_TABLE;FE_NV_FAILURE;20;
;_CDT_DIAGNOSIS_ALARM_TABLE;FE_MAINTENANCE_MATURE;21;
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_REPLACE_FE_TO_CB_BLOCKED;22;
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_REPLACE_REQUIRED_FE_TO_CB_BLOCKED;23;
;_CDT_DIAGNOSIS_ALARM_TABLE;ALARM_REPLACE_REQUIRED_BOTH_DIRECTION_ENABLED;24;
;;ALARM_NUM_CODES;25;
