reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 130;;;;;
;coodinatorAlarmSimulation;;;;
;simulationMode;;Simulation mode;ENUMERATION;_CDT_SIMULATION_MODE
;cpuLoad;;CPU Load;NUMERIC;
;frontEndConfParamRd;;FE Config. Param;NUMERIC;
;totalWorkingTimeHour;;Transimtter Working Hour;NUMERIC;
;forceReplace;;;ENUMERATION;_CDT_FORCE_REPLACE
;calibrationStatus;;;ENUMERATION;_SENSOR_CALIBRATION_STATUS
;cdtDiagnosis;;;;
;operatingMode;;;ENUMERATION;_OPERATING_MODE
;temperature_Obj;unit;;ENUMERATION;_T_TEMPERATURE
;temperature_Obj;type;;;
;temperature_Obj;value_0;;NUMERIC;
;temperature_Obj;value_1;;;
;temperature_Obj;value_2;;;
;temperature_Obj;value_3;;;
;temperature_Obj;value_4;;;
;temperature_Obj;value_5;;;
;temperature_Obj;value_6;;;
;temperature_Obj;value_7;;;
;temperature_Obj;value_8;;;
;temperature_Obj;value_9;;;
;temperature_Obj;value_10;;;
;temperature_Obj;value_11;;;
;temperature_Obj;value_12;;;
;temperature_Obj;value_13;;;
;temperature_Obj;value_14;;;
;temperature_Obj;value_15;;;
;temperature_Obj;value_16;;;
;temperature_Obj;value_17;;;
;temperature_Obj;value_18;;;
;temperature_Obj;value_19;;;
;temperature_Obj;value_20;;;
;temperatureAlmRange;loLim;;NUMERIC;
;temperatureAlmRange;hiLim;;NUMERIC;
;snr;;;NUMERIC;
;temperature_Sim;;;NUMERIC;
;temperaturePreset;;;NUMERIC;
;converterType;;;ENUMERATION;_CONVERTER_TYPE
;vortexmeterSize;;;ENUMERATION;_VORTEX_SIZE
;swirlmeterSize;;;ENUMERATION;_SWIRL_SIZE
;frontendOperationHour;;;NUMERIC;
;temperature_DampingTime;;;NUMERIC;
;temperature_Selection;;;ENUMERATION;_TSELECTION
;frequency_Sim;;;NUMERIC;
;vbrFilStep;;;NUMERIC;
;vbrFilNumCoef;;;NUMERIC;
;fcdShift;;;NUMERIC;
;fcdDelay;;;NUMERIC;
;fcdNumCoef;;;NUMERIC;
;freqMinMarginPer;;;NUMERIC;
;freqMaxMarginPer;;;NUMERIC;
;accuracyHigh;;;NUMERIC;
;accuracyMiddle;;;NUMERIC;
;accuracyLow;;;NUMERIC;
;gainCtrl;;;ENUMERATION;_STATUS
;gainLowThresh;;;NUMERIC;
;gainHighThresh;;;NUMERIC;
;gainMarginFreq;;;NUMERIC;
;gainMaxShift;;;NUMERIC;
