reserved;object;briefDescription;direction;T_DATA_OBJECT;objectCount;dataClass;storageQualifier
##Module SubGen;;;;;;;
##ModuleRevision 0x020101;;;;;;;
##FileRevision 240;;;;;;;
;coodinatorAlarmSimulation;;INOUT;T_DIAGNOSIS_ALARM;4;Protected;RAM
;operatingMode;;INOUT;TABENUM8;1;ReplaceStaticFreqStaticDefault;NON_VOLATILE
;workingTimeMSec;;INOUT;SIMPLE_U32;1;Unprotected;RAM
;totalWorkingTimeHour;;INOUT;SIMPLE_U32;1;STATIC_CYCLIC;NON_VOLATILE
;partialWorkingTimeHour;;INOUT;SIMPLE_U32;1;Unprotected;RAM
;simulationMode;Simulation mode;INOUT;TABENUM8;1;Protected;RAM
;frequency;Piezo sensor frequency;INOUT;FLOAT;1;DynamicDuplicated;RAM
;frequencySim_Enable;;INOUT;TABENUM8;1;Protected;RAM
;frequency_Sim;;INOUT;FLOAT;1;Unprotected;RAM
;frequency_MaxDN;;INPUT;SIMPLE_FLOAT;1;Unprotected;RAM
;frequency_MinDN;;INPUT;SIMPLE_FLOAT;1;Unprotected;RAM
;frequency_Span;;INPUT;SIMPLE_FLOAT;1;Unprotected;RAM
;frequency_Span_Obj;;INPUT;UOM_PF;1;;
;frequency_range;;INPUT;DEV_RNGFLT;1;STATIC_RARE;NON_VOLATILE
;frequency_range_Obj;;CONTAINED;UOM_PF;1;;
;frequency_Percentage;;INPUT;SIMPLE_FLOAT;1;Unprotected;RAM
;frequency_Damped;;INOUT;FLOAT;1;DynamicDuplicated;RAM
;frequency_Damped_Obj;;CONTAINED;UOM_PF;1;;
;frequency_UnitCode;;INOUT;TABENUM8;1;STATIC_RARE;NON_VOLATILE
;simFrequency_UnitCode;;INPUT;TABENUM8;1;STATIC_RARE;NON_VOLATILE
;frequency_UnitType;;INOUT;CONST_U8;1;CONSTANT;ROM
;frequency_Obj;;INOUT;UOM_PF;1;;
;frequency_SimObj;;INOUT;UOM_PF;1;;
;frequency_Classification;;OUTPUT;CONST_U8;1;CONSTANT;ROM
;frequency_Status;;INOUT;SIMPLE_U8;1;Unprotected;RAM
;frequency_DampingTime;;INOUT;FLOAT;1;ReplaceStaticRare;NON_VOLATILE
;temperature;;INOUT;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;temperatureSim_Enable;;INOUT;TABENUM8;1;Protected;RAM
;temperature_Sim;;INOUT;FLOAT;1;Unprotected;RAM
;temperature_DampingTime;;INPUT;FLOAT;1;ReplaceStaticFreqStaticDefault;NON_VOLATILE
;temperature_Damped;;INOUT;FLOAT;1;DynamicDuplicated;RAM
