reserved;object;attribute;value
##Module SubGen;;;
##ModuleRevision 0x020101;;;
##FileRevision 7;;;
;DigitalOutputAlarmBehavior;0;DIGITALOUTPUT_ALARM_BEHAVIOUR_FAIL_LOGIC_OUT_1
;diagnosisCondition_fe_board_comm_errorDetails;counter;0
;diagnosisCondition_fe_board_comm_errorDetails;timeCounterMSec;0
;diagnosisCondition_fe_board_comm_errorDetails;timeCounterDay;0
;diagnosisCondition_fe_board_comm_errorDetails;timeStampLastMSec;0
;diagnosisCondition_fe_board_comm_errorDetails;timeStampLastDay;0
;diagnosisCondition_fe_board_not_detectedDetails;counter;0
;diagnosisCondition_fe_board_not_detectedDetails;timeCounterMSec;0
;diagnosisCondition_fe_board_not_detectedDetails;timeCounterDay;0
;diagnosisCondition_fe_board_not_detectedDetails;timeStampLastMSec;0
;diagnosisCondition_fe_board_not_detectedDetails;timeStampLastDay;0
;diagnosisCondition_pv_sensor_failureDetails;counter;0
;diagnosisCondition_pv_sensor_failureDetails;timeCounterMSec;0
;diagnosisCondition_pv_sensor_failureDetails;timeCounterDay;0
;diagnosisCondition_pv_sensor_failureDetails;timeStampLastMSec;0
;diagnosisCondition_pv_sensor_failureDetails;timeStampLastDay;0
;diagnosisCondition_sv_sensor_failureDetails;counter;0
;diagnosisCondition_sv_sensor_failureDetails;timeCounterMSec;0
;diagnosisCondition_sv_sensor_failureDetails;timeCounterDay;0
;diagnosisCondition_sv_sensor_failureDetails;timeStampLastMSec;0
;diagnosisCondition_sv_sensor_failureDetails;timeStampLastDay;0
;diagnosisCondition_tv_sensor_failureDetails;counter;0
;diagnosisCondition_tv_sensor_failureDetails;timeCounterMSec;0
;diagnosisCondition_tv_sensor_failureDetails;timeCounterDay;0
;diagnosisCondition_tv_sensor_failureDetails;timeStampLastMSec;0
;diagnosisCondition_tv_sensor_failureDetails;timeStampLastDay;0
;diagnosisCondition_fe_board_failureDetails;counter;0
;diagnosisCondition_fe_board_failureDetails;timeCounterMSec;0
;diagnosisCondition_fe_board_failureDetails;timeCounterDay;0
;diagnosisCondition_fe_board_failureDetails;timeStampLastMSec;0
;diagnosisCondition_fe_board_failureDetails;timeStampLastDay;0
;diagnosisCondition_fe_nv_failureDetails;counter;0
;diagnosisCondition_fe_nv_failureDetails;timeCounterMSec;0
;diagnosisCondition_fe_nv_failureDetails;timeCounterDay;0
;diagnosisCondition_fe_nv_failureDetails;timeStampLastMSec;0
;diagnosisCondition_fe_nv_failureDetails;timeStampLastDay;0
;diagnosisCondition_fe_ram_failureDetails;counter;0
