reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 2;;;;
;outputAlarmCodes;CONDITION_PV_SENSOR_FAILURE;0;
;outputAlarmCodes;CONDITION_SV_SENSOR_FAILURE;1;
;outputAlarmCodes;CONDITION_TV_SENSOR_FAILURE;2;
;outputAlarmCodes;CONDITION_FV_SENSOR_FAILURE;3;
;outputAlarmCodes;CONDITION_PV_SENSOR_OUT_LIMS;4;
;outputAlarmCodes;CONDITION_SV_SENSOR_OUT_LIMS;5;
;outputAlarmCodes;CONDITION_TV_SENSOR_OUT_LIMS;6;
;outputAlarmCodes;CONDITION_FV_SENSOR_OUT_LIMS;7;
;outputAlarmCodes;CONDITION_PV_SENSOR_OUT_RANGE;10;
;outputAlarmCodes;CONDITION_SV_SENSOR_OUT_RANGE;11;
;outputAlarmCodes;CONDITION_TV_SENSOR_OUT_RANGE;12;
;outputAlarmCodes;CONDITION_FV_SENSOR_OUT_RANGE;13;
;outputAlarmCodes;CONDITION_FE_BOARD_FAILURE;16;
;outputAlarmCodes;CONDITION_FE_NV_FAILURE;17;
;outputAlarmCodes;CONDITION_FE_NV_WARNING;18;
;outputAlarmCodes;CONDITION_FE_BOARD_NOT_DETECTED;19;
;outputAlarmCodes;CONDITION_FE_BOARD_COMM_ERROR;20;
;outputAlarmCodes;CONDITION_CB_NV_FAILURE;23;
;outputAlarmCodes;CONDITION_CB_NV_WARNING;24;
;outputAlarmCodes;CONDITION_NV_STORAGE_ACTIVE;25;
;outputAlarmCodes;CONDITION_NV_CONCISTENCY_CHECK;26;
;outputAlarmCodes;CONDITION_STEAM_TYPE_MISMATCH;30;
;outputAlarmCodes;CONDITION_MAINTENANCE_WARNING;31;
;outputAlarmCodes;CONDITION_CB_INSUF_INPUT_VOLTAGE;32;
;outputAlarmCodes;CONDITION_AMBIENT_TEMP_REACH_TMIN;33;
;outputAlarmCodes;CONDITION_AMBIENT_TEMP_REACH_TMAX;34;
;outputAlarmCodes;CONDITION_LOW_FLOWRATE_CUTOFF;35;
;outputAlarmCodes;CONDITION_PROCESS_FLOWRATE_MORE_THAN_103;36;
;outputAlarmCodes;CONDITION_DATA_SIMU_WARNING;37;
;outputAlarmCodes;CONDITION_ALARM_SIMU_WARNING;38;
;outputAlarmCodes;CONDITION_NV_REPLACE_WARN;43;
;outputAlarmCodes;CONDITION_FE_RAM_FAILURE;44;
;outputAlarmCodes;CONDITION_TOT_COUNTER_STOP;45;
;outputAlarmCodes;CONDITION_NO_HART_BURST_IN;47;
