reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 3;;;;;
;alarmHistory;;;ENUMERATION;outputAlarmCodes
;alarmMasking;;;ENUMERATION;outputAlarmMaskingCodes
;simulationStatus;;;ENUMERATION;simulationStatusCodes
;diagnosisCondition_fe_board_comm_errorDetails;counter;;NUMERIC;
;diagnosisCondition_fe_board_comm_errorDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fe_board_comm_errorDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fe_board_comm_errorDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_fe_board_comm_errorDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_fe_board_not_detectedDetails;counter;;NUMERIC;
;diagnosisCondition_fe_board_not_detectedDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fe_board_not_detectedDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fe_board_not_detectedDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_fe_board_not_detectedDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_pv_sensor_failureDetails;counter;;NUMERIC;
;diagnosisCondition_pv_sensor_failureDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_pv_sensor_failureDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_pv_sensor_failureDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_pv_sensor_failureDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_sv_sensor_failureDetails;counter;;NUMERIC;
;diagnosisCondition_sv_sensor_failureDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_sv_sensor_failureDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_sv_sensor_failureDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_sv_sensor_failureDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_tv_sensor_failureDetails;counter;;NUMERIC;
;diagnosisCondition_tv_sensor_failureDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_tv_sensor_failureDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_tv_sensor_failureDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_tv_sensor_failureDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_fe_board_failureDetails;counter;;NUMERIC;
;diagnosisCondition_fe_board_failureDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fe_board_failureDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fe_board_failureDetails;timeStampLastMSec;;NUMERIC;
