reserved;object;briefDescription;direction;T_DATA_OBJECT;objectCount;dataClass;storageQualifier
##Module SubGen;;;;;;;
##ModuleRevision 0x020101;;;;;;;
##FileRevision 4;;;;;;;
;alarmHistory;;OUTPUT;T_DIAGNOSIS_ALARM;6;STATIC_CYCLIC;NON_VOLATILE
;alarmMasking;;INOUT;T_DIAGNOSIS_ALARM;6;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;simulationStatus;;INOUT;TABENUM8;1;DYNAMIC;RAM
;analoginputAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;coordinatorAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;4;DYNAMIC;RAM
;digitaloutputAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;electronicservicesAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;frontendinterfaceAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;mapperAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;mvmeasurementAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;svmeasurementAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;totalizerAlarm;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;analoginputAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;coordinatorAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;4;DYNAMIC;RAM
;digitaloutputAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;electronicservicesAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;frontendinterfaceAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;mapperAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;mvmeasurementAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;svmeasurementAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;totalizerAlarmSimulation;external descriptor;INOUT;T_DIAGNOSIS_ALARM;1;DYNAMIC;RAM
;diagnosisConditionIdx;;INOUT;TABENUM8;1;DYNAMIC;RAM
