reserved;type;attribute;basicType;externalType
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 1;;;;
Copyright ABB, 2006.;;;;
All rights reserved. Reproduction, modification,;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
!;;;;
last edited 10.06.2008 Giovanni Invernizzi;;;;
;T_DIAGNOSIS_ALARM;;TUSIGN8;TUSIGN8
;T_DIAGNOSIS_ALARM_COUNTER;counter;TUSIGN16;TUSIGN16
;T_DIAGNOSIS_ALARM_COUNTER;timeCounterMSec;TUSIGN16;TUSIGN32
;T_DIAGNOSIS_ALARM_COUNTER;timeCounterDay;TUSIGN16;TUSIGN16
;T_DIAGNOSIS_ALARM_COUNTER;timeStampLastMSec;TUSIGN16;TUSIGN32
;T_DIAGNOSIS_ALARM_COUNTER;timeStampLastDay;TUSIGN16;TUSIGN16
