reserved;object;attribute;value
##Module SubGen;;;
##ModuleRevision 0x020101;;;
##FileRevision 211;;;
;outputMode;ptrCodeTab;TOutputMode1Formats
;outputMode;numberOfCodes;NUMBER_OF_OUTPUT1_MODES
;alarmState_DO;ptrCodeTab;E_DIG_OUT_ALARM_BEHAVIOUR
;alarmState_DO;numberOfCodes;NUMBER_OF_ALM_BEHAV_ELEMENTS
;simuEnabled;ptrCodeTab;TSimulationEnabledFormat
;simuEnabled;numberOfCodes;NUMBER_OF_SIMULATION_ENABLED
;lgcSgnlSrc;ptrCodeTab;TLogicSignalSourceFormats
;lgcSgnlSrc;numberOfCodes;NUMBER_OF_LOGIC_SIGNAL_SOURCES
;lgcActState;ptrCodeTab;TLogicActiveStateFormats
;lgcActState;numberOfCodes;NUMBER_OF_LOGIC_ACTIVE_STATES
;lgcSimCmd;ptrCodeTab;TLogicSimulationCommandFormats
;lgcSimCmd;numberOfCodes;NUMBER_OF_LOGIC_SIM_COMMANDS
;simuFrequency;min;FULLSCALE_FREQ_MIN
;simuFrequency;max;FULLSCALE_FREQ_MAX
;simuFrequency;increment;FULLSCALE_FREQ_DEFAULT
;pulseWidth;publicUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseWidth;publicRangeDatObj;&digitalOutputObjectList[DIGITALOUTPUT_IDX_pulseWidthRange]
;pulseWidth;customUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseWidth;min;PULSE_WIDTH_MIN
;pulseWidth;max;PULSE_WIDTH_MAX
;pulseWidth;unitsCode;UM_MILLISECOND
;pulseWidth;unitsType;UM_T_TIME
;pulseFactor;publicUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseFactor;publicRangeDatObj;&digitalOutputObjectList[DIGITALOUTPUT_IDX_pulseFactorRange]
;pulseFactor;customUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseFactor;min;PULSE_FACTOR_MIN
;pulseFactor;max;PULSE_FACTOR_MAX
;pulseFactor;unitsCode;0
;pulseFactor;unitsType;0
;pulseFactorRange;publicUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseFactorRange;publicRangeDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseFactorRange;customUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
;pulseFactorRange;min;PULSE_FACTOR_MIN
;pulseFactorRange;max;PULSE_FACTOR_MAX
;pulseFactorRange;unitsCode;0
;pulseFactorRange;unitsType;0
;pulseWidthRange;publicUnitsDatObj;(const T_DATA_OBJ SLOW*)NULL
