reserved;type;attribute;basicType;externalType
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 8;;;;
;T_FLOAT_TOTUNIT;value;TFLOAT;TFLOAT
;T_FLOAT_TOTUNIT;unitsCode;TUSIGN8;TUSIGN8
;T_FLOAT_TOTUNIT;unitsType;TUSIGN8;TUSIGN8
;T_FLOAT_TOTUNIT_DESCRIPTOR;publicUnitsDatObj;T_DATAOBJECT*;
;T_FLOAT_TOTUNIT_DESCRIPTOR;publicRangeDatObj;T_DATAOBJECT*;
;T_FLOAT_TOTUNIT_DESCRIPTOR;customUnitsDatObj;T_DATAOBJECT*;
;T_FLOAT_TOTUNIT_DESCRIPTOR;min;TFLOAT;
;T_FLOAT_TOTUNIT_DESCRIPTOR;max;TFLOAT;
;T_FLOAT_TOTUNIT_DESCRIPTOR;unitsCode;TUSIGN8;
;T_FLOAT_TOTUNIT_DESCRIPTOR;unitsType;TUSIGN8;
