reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 75;;;;
;dipSwitchAndPushButtonsStatusTable;PUSH_BUTTONS_ZERO_STATUS;0x0001;
;dipSwitchAndPushButtonsStatusTable;PUSH_BUTTONS_SPAN_STATUS;0x0002;
;dipSwitchAndPushButtonsStatusTable;PUSH_BUTTONS_WRITE_PROTECT_STATUS;0x0004;
;dipSwitchAndPushButtonsStatusTable;DIP_SWITCH_1_STATUS;0x0008;
;dipSwitchAndPushButtonsStatusTable;DIP_SWITCH_2_STATUS;0x0010;
;dipSwitchAndPushButtonsStatusTable;DIP_SWITCH_3_STATUS;0x0020;
;dipSwitchAndPushButtonsStatusTable;DIP_SWITCH_4_STATUS;0x0040;
;dipSwitchAndPushButtonsStatusTable;DIP_SWITCH_5_STATUS;0x0080;
;dipSwitchAndPushButtonsStatusTable;DIP_SWITCH_6_STATUS;0x0100;
;SwWriteProtectionTable;WRITE_PROTECTION_OFF;0;
;SwWriteProtectionTable;WRITE_PROTECTION_ON;1;
;SwWriteProtectionDefault;WRITE_PROTECTION_NONE;251;
;ElectronicServicesDiagnosisEnumTable;ALARM_POWER_SUPPLY_TOO_LOW;0;
;ElectronicServicesDiagnosisEnumTable;ALARM_POWER_SUPPLY_TOO_HIGH;1;
;ElectronicServicesDiagnosisEnumTable;ALARM_AMBIENT_TEMP_TOO_HIGH;4;
;ElectronicServicesDiagnosisEnumTable;ALARM_AMBIENT_TEMP_TOO_LOW;5;
;ElectronicServicesDiagnosisEnumCodes;ALARM_CODES;6;
;;ALARM_CODES_DUPLICATED;ALARM_CODES;
;InitializeNvTable;NV_NOT_INITIALIZE;0;
;InitializeNvTable;NV_INITIALIZE_START;1;
;InitializeNvTable;NV_INITIALIZE_END_OK;2;
;InitializeNvTable;NV_INITIALIZE_END_FAILED;3;
;SilTestTable;SIL_TEST_OFF;0;
;SilTestTable;SIL_TEST_ON;1;
;NvWriteIsActiveTable;WRITE_NOT_ACTIVE;0;
;NvWriteIsActiveTable;WRITE_ACTIVE;1;
;;V_SUPPLY_READBACK_HIGH_THRESHOLD;40000;
;;V_SUPPLY_READBACK_LOW_THRESHOLD;10450;
;;V_SUPPLY_READBACK_RETRY;5;
;;TEMPERATURE_READBACK_RETRY;5;
;CalibrationLocationTable;CAL_IN_SHANGHAI;0;Shanghai
;CalibrationLocationTable;CAL_IN_STONEHOUSE;1;Stonehouse
;CalibrationLocationTable;CAL_IN_GOETTINGEN;2;Goettingen
;CalibrationLocationTable;CAL_IN_WARMINSTER;3;Warminster
