reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 94;;;;;
;swWriteProtection;;Sw Write Protection Table;ENUMERATION;SwWriteProtectionTable
;lowLevelHmiHwSwRevision;;;ASCII;
;deviceReset;;Device Reset;ACTION;
;resetOutputTrimming;;Reset Output Trimming;ACTION;
;sensorID;;Sensor ID;ASCII;
;sensorCalCertNo;;Sensor calibration certificate No.;ASCII;
;sensorCalDate;;Sensor calibration date.;ASCII;
;sensorSapErpNo;;Sensor SAP/ERP No.;ASCII;
;bootloaderRevision;;;ASCII;
;phone;;Phone;ASCII;
;manufacturer;;;ASCII;
;street;;;ASCII;
;city;;;ASCII;
;tranCalDate;;Transmitter calibration date.;ASCII;
;tranID;;Transmitter ID;ASCII;
;tranSapErpNo;;Transmitter SAP/ERP No.;ASCII;
;tranCalCertNo;;Transmitter calibration certificate No.;ASCII;
;writeSelfDiagnosis;;;ACTION;
;writeAutoZero;;;ACTION;
;resetCB_Runhour;;;ACTION;
;resetToDefault;;;NUMERIC;
;saveAsDefault;;;NUMERIC;
;loadRomDefault;;;NUMERIC;
;tranCalLocation;;;ASCII;
;sensorCalLocation;;;ASCII;
;autoSelfCheckTime;;;NUMERIC;
;tranType;;tranType;ASCII;
;elettronicTemperature;;;NUMERIC;
;sensorLocationTag;;;ASCII;
;sensoTag;;;ASCII;
;snrThreshold;;;NUMERIC;
;swRevisionHmi_transmitter;;;ASCII;
;hwRevisionHmi_transmitter;;;ASCII;
;swRevisionHmi_fe;;;ASCII;
;hwRevisionHmi_fe;;;ASCII;
;elettronicTemperature_Obj;unit;;ENUMERATION;TEMPERATURE
;elettronicTemperature_Obj;type;;;
;elettronicTemperature_Obj;value_0;;NUMERIC;
;elettronicTemperature_Obj;value_1;;;
;elettronicTemperature_Obj;value_2;;;
;elettronicTemperature_Obj;value_3;;;
;elettronicTemperature_Obj;value_4;;;
;elettronicTemperature_Obj;value_5;;;
;elettronicTemperature_Obj;value_6;;;
;elettronicTemperature_Obj;value_7;;;
;elettronicTemperature_Obj;value_8;;;
;elettronicTemperature_Obj;value_9;;;
;elettronicTemperature_Obj;value_10;;;
;elettronicTemperature_Obj;value_11;;;
;elettronicTemperature_Obj;value_12;;;
;elettronicTemperature_Obj;value_13;;;
;elettronicTemperature_Obj;value_14;;;
;elettronicTemperature_Obj;value_15;;;
;elettronicTemperature_Obj;value_16;;;
;elettronicTemperature_Obj;value_17;;;
;elettronicTemperature_Obj;value_18;;;
;elettronicTemperature_Obj;value_19;;;
;elettronicTemperature_Obj;value_20;;;
;hardwareRevision;;;NUMERIC;
;ambientTemperatureMax_obj;unit;;ENUMERATION;TEMPERATURE
;ambientTemperatureMax_obj;type;;;
;ambientTemperatureMax_obj;value_0;;NUMERIC;
;ambientTemperatureMax_obj;value_1;;;
;ambientTemperatureMax_obj;value_2;;;
;ambientTemperatureMax_obj;value_3;;;
;ambientTemperatureMax_obj;value_4;;;
;ambientTemperatureMax_obj;value_5;;;
;ambientTemperatureMax_obj;value_6;;;
;ambientTemperatureMax_obj;value_7;;;
;ambientTemperatureMax_obj;value_8;;;
;ambientTemperatureMax_obj;value_9;;;
;ambientTemperatureMax_obj;value_10;;;
;ambientTemperatureMax_obj;value_11;;;
;ambientTemperatureMax_obj;value_12;;;
;ambientTemperatureMax_obj;value_13;;;
;ambientTemperatureMax_obj;value_14;;;
;ambientTemperatureMax_obj;value_15;;;
;ambientTemperatureMax_obj;value_16;;;
;ambientTemperatureMax_obj;value_17;;;
;ambientTemperatureMax_obj;value_18;;;
;ambientTemperatureMax_obj;value_19;;;
;ambientTemperatureMax_obj;value_20;;;
;saveAllAsDefault;;;ACTION;
;resetAllToDefault;;;ACTION;
;autozeroStatus;;;ENUMERATION;_AUTOZERO_STATUS
;switchBLE;;;ENUMERATION;TABLE_BLE_SWITCH_2
;modeLCDLight;;;ENUMERATION;TABLE_LCD_LIGHT_MODE
