reserved;object;briefDescription;direction;T_DATA_OBJECT;objectCount;dataClass;storageQualifier
##Module SubGen;;;;;;;
##ModuleRevision 0x020101;;;;;;;
##FileRevision 201;;;;;;;
;elettronicTemperature_Obj;;OUTPUT;UOM_PF;1;;
;elettronicTemperatureSimulation_Obj;;INPUT;UOM_PF;1;;
;softwareRevision;;OUTPUT;CONST_U8;3;CONSTANT;RAM
;hardwareRevision;;OUTPUT;SIMPLE_U8;3;Unprotected;RAM
;deviceSerialNumber;;OUTPUT;SIMPLE_U8;8;ReplaceStaticRare;NON_VOLATILE
;feSerialNumber;;OUTPUT;SIMPLE_U8;3;ReplaceStaticRare;NON_VOLATILE
;vSupplyReadBack;;CONTAINED;SIMPLE_U16;1;DynamicDuplicated;RAM
;dipSwitchAndPushButtonsStatus;;OUTPUT;SIMPLE_U16;1;Unprotected;READONLY_RAM
;swWriteProtection;;INOUT;TABENUM8;1;ReplaceStaticFrequentNoDefault;NON_VOLATILE
;swRevisionHmi_transmitter;;OUTPUT;SIMPLE_CHAR;8;Unprotected;RAM
;hwRevisionHmi_transmitter;;OUTPUT;SIMPLE_CHAR;8;Unprotected;RAM
;deviceReset;;CONTAINED;ACTION;1;;
;electronicServicesAlarmSimulation;;CONTAINED;T_DIAGNOSIS_ALARM;1;Protected;RAM
;localDiagnosis;;CONTAINED;SIMPLE_U8;1;DynamicDuplicated;RAM
;cbSerialNumber;;CONTAINED;SIMPLE_U8;3;STATIC_RARE;NON_VOLATILE
;resetOutputTrimming;;CONTAINED;ACTION;1;;
;elettronicTemperature;;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;vSupplyReadBackDuplicated;;CONTAINED;SIMPLE_U16;1;DynamicDuplicated;RAM
;protectedDataCrc;;CONTAINED;SIMPLE_U16;1;Unprotected;RAM
;localDiagnosisDuplicated;;CONTAINED;SIMPLE_U8;1;DynamicDuplicated;RAM
;initializeNv;;CONTAINED;TABENUM8;1;Protected;RAM
;resetToDefault;;CONTAINED;SIMPLE_I16;1;Protected;RAM
;saveAsDefault;;CONTAINED;SIMPLE_I16;1;Protected;RAM
;loadRomDefault;;CONTAINED;SIMPLE_I16;1;Protected;RAM
;classLoadRomDefault;;CONTAINED;SIMPLE_I16;1;Unprotected;RAM
;lowLevelHmiHwSwRevision;;OUTPUT;SIMPLE_CHAR;8;Unprotected;RAM
;vSupplyReadbackEnable;;INOUT;TABENUM8;1;ReplaceStaticFrequentNoDefault;NON_VOLATILE
