reserved;definition;name;value;briefDescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 24;;;;
Copyright ABB 2011.;;;;
All rights reserved. Reproduction modification;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
";;;;
";;;;
;BurstModeEnumTable;BURSTMODE_OFF;0;Burst Mode off
;BurstModeEnumTable;BURSTMODE_ENABLE_ON_TOKEN_PASSING_DLL;1;Burst Mode enabled on Token-Passing Data Link Layer
;BurstCmdNumberHARTEnumTable;BURST_COMMAND_1;1;HART Command 1
;BurstCmdNumberHARTEnumTable;BURST_COMMAND_2;2;HART Command 2
;BurstCmdNumberHARTEnumTable;BURST_COMMAND_3;3;HART Command 3
;BurstCmdNumberHARTEnumTable;BURST_COMMAND_9;9;HART Command 9
;BurstCmdNumberHARTEnumTable;BURST_COMMAND_33;33;HART Command 33
;BurstCmdNumberHARTEnumTable;BURST_COMMAND_48;48;HART Command 48
;BurstTriggerModeCodeTable;BURST_TRIGGER_MODE_CONTINUOUS;0;
;BurstTriggerModeCodeTable;BURST_TRIGGER_MODE_WINDOW;1;
;BurstTriggerModeCodeTable;BURST_TRIGGER_MODE_RISING;2;
;BurstTriggerModeCodeTable;BURST_TRIGGER_MODE_FAILING;3;
;BurstTriggerModeCodeTable;BURST_TRIGGER_MODE_ON_CHANGE;4;
;ConfigExitTimerEnumTable;CONFIG_TIMER_STOP;0;Stop the Configtimer
;ConfigExitTimerEnumTable;CONFIG_TIMER_START;1;Start the Configtimer
;AutoAdjustConfigStateEnumTable;INIT_FALSE;0;no initialisation realised
;AutoAdjustConfigStateEnumTable;INIT_ONLY_CONTROLLER_FINISHED;3;init only controllerdata
;AutoAdjustConfigStateEnumTable;INIT_ONLY_VALVERANGE_FINISHED;5;init only valve range
;AutoAdjustConfigStateEnumTable;INIT_OK;7;initialisation realised
;CounterResetEnumTable;NO_RESET;0;no reset will be done
;CounterResetEnumTable;RESET_WDOG_COUNTER;2;Erase Watchdog Counter
;CounterResetEnumTable;RESET_POWERDN_COUNTER;4;Erase Power Down Counter
;CounterResetEnumTable;RESET_EEPROM_ERR_COUNTER;8;Erase EEPROM Error Counter
;CounterResetEnumTable;RESET_COMM_ERR_COUNTER;16;Erase communication error Counter
;CounterResetEnumTable;RESET_COMM_TIMEOUT_COUNTER;32;Erase communication time-out counter
;eepromControlTable;EEP_CTRL_SAVE_DATA;0;
;eepromControlTable;EEP_CTRL_LOAD_DATA;1;
;eepromControlTable;EEP_CTRL_PASSIVE;255;
