reserved;object;briefDescription;direction;T_DATA_OBJECT;objectCount;dataClass;storageQualifier
##Module SubGen;;;;;;;
##ModuleRevision 0x020101;;;;;;;
##FileRevision 110;;;;;;;
;resetConfigFlag;Reset configuration changed flags;CONTAINED;ACTION;1;;
;StartSelfTest;Starts self test;CONTAINED;ACTION;1;;
;bolDeviceIsBusy;Internal information for status;CONTAINED;SIMPLE_U8;1;dyn;RAM
;dummy_0;Not used (Value = 0);CONTAINED;CONST_U8;1;cst;
;dummys16;;CONTAINED;SIMPLE_I16;1;dyn;RAM
;dummy32;;CONTAINED;SIMPLE_U32;1;dyn;RAM
;dummy250;;CONTAINED;CONST_U8;1;cst;
;dummy_254;Fixed to 254;CONTAINED;CONST_U8;1;cst;
;dummyU8;;CONTAINED;SIMPLE_U8;1;dyn;RAM
;dummyU16;;CONTAINED;SIMPLE_U16;1;dyn;RAM
;dummyFloat;;CONTAINED;SIMPLE_FLOAT;1;dyn;RAM
;dummyDouble;;CONTAINED;SIMPLE_DOUBLE;1;dyn;RAM
;bitRateCode;Bit rate code;CONTAINED;USIGN8;1;rare;NON_VOLATILE
;fskDisabled;A value <>0 disables the FSK-Function.;CONTAINED;SIMPLE_U8;1;rare;NON_VOLATILE
;hwWriteProtection;Write protect code;CONTAINED;SIMPLE_U8;1;rare;NON_VOLATILE
;numberRquestPream;Min Number Request Preambles;CONTAINED;USIGN8;1;rare;NON_VOLATILE
;numberRespPream;;OUTPUT;USIGN8;1;rare;NON_VOLATILE
;hartCmdRev;Switch between HART 5 and HART 7 command revision.  Change takes only effect after a power cycle.;CONTAINED;TABENUM8;1;freqCst;NON_VOLATILE
;univCmdRev;Universal Command Major Revision Number;CONTAINED;TABENUM8;1;freqCst;NON_VOLATILE
;transSpecRev;Device Revision Level;CONTAINED;CONST_U8;1;cst;
;deviceRevisionLevel;;CONTAINED;CONST_U8;1;cst;
;mfrId;Manufacturer Identification Code 0x1A or ABB;CONTAINED;CONST_U8;1;cst;
;mfrDeviceType;Device Type as assigned by the HART Foundation.  Must be adjusted to the specific device where this subsystem is used;CONTAINED;CONST_U8;1;cst;
;maxNoOfDevVariables;;CONTAINED;CONST_U8;1;cst;
;manufacturerIdCode;;CONTAINED;CONST_U8;2;cst;
;privateLabelDistributorCode;;CONTAINED;SIMPLE_U16;1;rare;NON_VOLATILE
;deviceProfile;;CONTAINED;CONST_U8;1;cst;
;flags;Fixed to 2 01 = Multisensor Field Device 02 = Eeprom Control 04 = Protocol bridge Device 08 = IEEE 802.15.4.2  4GHz DSSS;CONTAINED;CONST_U8;1;cst;
