reserved;type;attribute;basicType;externalType
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 1;;;;
Copyright ABB, 2011.;;;;
All rights reserved. Reproduction, modification,;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
!;;;;
last edited 10.08.2007 Heiko Kresse;;;;
;T_MAP_DESCRIPTOR;subsystemIndex;TUSIGN16;TUSIGN16
;T_MAP_DESCRIPTOR;objectIndex;TUSIGN16;TUSIGN16
;T_MAP_DESCRIPTOR;attributeIndex;TINT16;TINT16
;T_MAP_DESCRIPTOR;gain;TFLOAT;TFLOAT
;T_MAP_DESCRIPTOR;offset;TFLOAT;TFLOAT
;T_BURSTMSG_CONFVALUES;burstMsgNumber;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;modeControlCode;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;cmdExpansionFlag;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;commandNumber;TUSIGN16;TUSIGN16
;T_BURSTMSG_CONFVALUES;burstSlot0;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot1;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot2;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot3;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot4;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot5;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot6;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;burstSlot7;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;updatePeriod;TUSIGN32;TUSIGN32
;T_BURSTMSG_CONFVALUES;maximumUpdatePeriod;TUSIGN32;TUSIGN32
;T_BURSTMSG_CONFVALUES;triggerModeSelectionCode;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;triggerDevVariableClassification;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;triggerUnitsCode;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;triggerValue;TFLOAT;TFLOAT
;T_BURSTMSG_CONFVALUES;processValueClassification;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;processValueUnitsCode;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;processValueSubSysId;TUSIGN8;TUSIGN8
;T_BURSTMSG_CONFVALUES;processValueObjId;TUSIGN8;TUSIGN8
;T_BURSTMSG_MANAGEVALUES;updatePeriodCounter;TUSIGN32;TUSIGN32
;T_BURSTMSG_MANAGEVALUES;maximumUpdatePeriodCounter;TUSIGN32;TUSIGN32
;T_BURSTMSG_MANAGEVALUES;lastSentProcessValue;TFLOAT;TFLOAT
;T_BURSTMSG_MANAGEVALUES;lastDiagnosisCounter;TUSIGN16;TUSIGN16
