reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 27;;;;;
;language;;Enumeration - Defines the language used;ENUMERATION;_LANGUAGE
;mainOperatorView_1_1;;Signal to be displayed on 1st line of 1st operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_1_2;;Signal to be displayed on 2nd line of 1st operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_1_3;;Signal to be displayed on 3rd line of 1st operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_1_4;;;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_1_bargraph;;Signal to be displayed on bargraph of 1st operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_2_1;;Signal to be displayed on 1st line of 2nd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_2_2;;Signal to be displayed on 2nd line of 2nd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_2_3;;Signal to be displayed on 3rd line of 2nd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_2_4;;;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_2_bargraph;;Signal to be displayed on bargraph of 2nd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_3_1;;Signal to be displayed on 1st line of 3rd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_3_2;;Signal to be displayed on 2nd line of 3rd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_3_3;;Signal to be displayed on 3rd line of 3rd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_3_4;;;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_3_bargraph;;Signal to be displayed on bargraph of 3rd operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_4_1;;Signal to be displayed on 1st line of 4th operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_4_2;;Signal to be displayed on 2nd line of 4th operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_4_3;;Signal to be displayed on 3rd line of 4th operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_4_4;;;ENUMERATION;_MAIN_OPERATOR_VIEW
;mainOperatorView_4_bargraph;;Signal to be displayed on bargraph of 4th operator page;ENUMERATION;_MAIN_OPERATOR_VIEW
