Reserved;Main menu;Sub menu 1;Sub menu 2;Sub menu 3;Subsystem IDX;Object IDX;Attribute IDX;Menu Type;Enum Name;Max Digits;Number of dp's;Units Table;Access Rights (read only);Access Rights (standard);Access Rights (advanced);Access Rights (service);English;German;French;Espanol;Italian;Dutch;Danish;Swedish;Finish;Polish;Russian;Chinese
##Module HMIGen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##ModuleRevision 0x002402;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##FileRevision 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Easy Setup;;;;;;;CONFIG HEADER;;;;;;;;;Easy Setup;Inbetriebnahme;R\x82glage facile;;;;;;;;;
;;Language;;;HMI_IDX;HMI_IDX_language;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Language;Sprache;Langue;;;;;;;;;
;;;;;;;;;LANGUAGE_ENGLISH;;;;;;;;English;English;Anglais;;;;;;;;;
;;;;;;;;;LANGUAGE_GERMAN;;;;;;;;German;Deutsch;Allemand;;;;;;;;;
;;;;;;;;;LANGUAGE_FRENCH;;;;;;;;French;Fran\25ais;Fran\x87ais;;;;;;;;;
;;;;;;;;;LANGUAGE_SPANISH;;;;;;;;Spanish;Espa\xA4ol;Espagnol;;;;;;;;;
;;;;;;;;;LANGUAGE_ITALIAN;;;;;;;;Italian;Italiano;Italien;;;;;;;;;
;;;;;;;;;LANGUAGE_DUTCH;;;;;;;;Dutch;;;;;;;;;;;
;;;;;;;;;LANGUAGE_DANISH;;;;;;;;Danish;;;;;;;;;;;
;;;;;;;;;LANGUAGE_SWEDISH;;;;;;;;Swedish;;;;;;;;;;;
;;;;;;;;;LANGUAGE_FINNISH;;;;;;;;Finnish;;;;;;;;;;;
;;;;;;;;;LANGUAGE_POLISH;;;;;;;;Polish;;;;;;;;;;;
;;;;;;;;;LANGUAGE_RUSSIAN;;;;;;;;Russian;;;;;;;;;;;
;;;;;;;;;LANGUAGE_CHINESE;;;;;;;;Chinese;Zhongweng;Chinois;;;;;;;;;
;;;;;;;;;LANGUAGE_JAPANESE;;;;;;;;Japanese;Japanese;Japonais;;;;;;;;;
;;;;;;;;;LANGUAGE_TURKISH;;;;;;;;Turkish;Turkce;Turque;;;;;;;;;
;;;;;;;;;LANGUAGE_PORTUGUESE;;;;;;;;Portuguese;;;;;;;;;;;
;;;;;;;;;LANGUAGE_NOT_DEFINED;;;;;;;;;;;;;;;;;;;
;;Operating Mode;;;CDT_IDX;CDT_IDX_operatingMode;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Operating Mode;Betriebsart;Mode op\x82ratoire;;;;;;;;;
;;;;;;;;;LIQUID_ACTUAL_VOLUME;;;;;;;;Liquid Volume;Fl\x81ssig Volumen;Liquide: volume;;;;;;;;;
;;;;;;;;;LIQUID_NORMAL_VOLUME;;;;;;;;Liquid Std/Norm Vol.;Fl\x81ssig NormVolumen;Liquide: volume Norm;;;;;;;;;
;;;;;;;;;LIQUID_MASS;;;;;;;;Liquid Mass;Fl\x81ssig Masse;Liquide: masse;;;;;;;;;
