Reserved;Signal;Subsys Index;Object Index;Attribute Index;Number dp's;Eng Units;Bargraph Type;Signals View;English Short Tag;English Long Tag;German Short Tag;German Long Tag;French Short Tag;French Long Tag;Espanol Short Tag;Espanol Long Tag;Italian Short Tag;Italian Long Tag;Dutch Short Tag;Dutch Long Tag;Danish Short Tag;Danish Long Tag;Swedish Short Tag;Swedish Long Tag;Finish Short Tag;Finish Long Tag;Polish Short Tag;Polish Long Tag;Russian Short Tag;Russian Long Tag;Chinese Short Tag;Chinese Long Tag
##Module HMIGen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##ModuleRevision 0x002402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##FileRevision 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;SVM_IDX;SVM_IDX_QDPercentage;0;3;%;Fixed 0...100;YES;QD;QD%;QD;QmaxDN%;QD;QD%;;;;;;;;;;;;;;;;;;
;2;SVM_IDX;SVM_IDX_QvDampedObj;UOM_PF_value_0;CONFIGURABLE_DP_1;UOM1;Use Upper/Lower;YES;QV;QV;QV;Qvolumen;QV;Q volume;;;;;;;;;;;;;;;;;;
;3;SVM_IDX;SVM_IDX_QvPercentage;0;3;%;Fixed 0...100;YES;QV;QV%;QV%;Qvolumen%;QV%;Q volume %;;;;;;;;;;;;;;;;;;
;4;MVM_IDX;MVM_IDX_QvPartialDampedObj;UOM_PF_value_0;CONFIGURABLE_DP_1;UOM1;Use Upper/Lower;if_SignalsViewValidityTest_1;QVP;QVP;QVP;Qvol. net ;QVP;Q volume %;;;;;;;;;;;;;;;;;;
;5;MVM_IDX;MVM_IDX_QmDampedObj;UOM_PF_value_0;CONFIGURABLE_DP_1;UOM2;Use Upper/Lower;if_SignalsViewValidityTest_4;QM;QM;QM;Qmasse;QM;Q masse;;;;;;;;;;;;;;;;;;
;6;MVM_IDX;MVM_IDX_QnDampedObj;UOM_PF_value_0;CONFIGURABLE_DP_1;UOM1;Use Upper/Lower;if_SignalsViewValidityTest_3;QN;QN;QN;Qn.-volumen;QN;Q normal;;;;;;;;;;;;;;;;;;
;7;MVM_IDX;MVM_IDX_QnPartialDampedObj;UOM_PF_value_0;CONFIGURABLE_DP_1;UOM1;Use Upper/Lower;if_SignalsViewValidityTest_2;QNP;QNP;QNP;Qn net-vol.;QNP;Q normal p;;;;;;;;;;;;;;;;;;
;8;MVM_IDX;MVM_IDX_QpDampedObj;UOM_PF_value_0;CONFIGURABLE_DP_1;UOM3;Use Upper/Lower;if_SignalsViewValidityTest_5;QP;QP;QP;Qenergie;QP;QP;;;;;;;;;;;;;;;;;;
;9;CDT_IDX;CDT_IDX_temperature_Damped_Obj;UOM_PF_value_0;3;UOM5;Use Upper/Lower;if_SignalsViewValidityTest_8;T;Temperature;T;Temperatur;T;Temp\x82rature;;;;;;;;;;;;;;;;;;
;10;MAPPER_IDX;MAPPER_IDX_dvPressureObj;UOM_PF_value_0;3;UOM6;Use Upper/Lower;if_SignalsViewValidityTest_6;P(a;Pressure(a);P(a;Druck(a);P(a;PressionAbs;;;;;;;;;;;;;;;;;;
