reserved;Target Subsystem Index;Object Index;Attribute Index;Bas;Std;Adv;Svc
##Module ARM_Gen;;;;;;;
##ModuleRevision 0x010101;;;;;;;
##FileRevision 2;;;;;;;
;HMI_IDX;HMI_IDX_language;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_operatingMode;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_outputMode;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_pulseFactor;FLOAT_FIXEDUNIT_value;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_pulseWidth;FLOAT_FIXEDUNIT_value;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_minFrequency;FLOAT_FIXEDUNIT_value;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_maxFrequency;FLOAT_FIXEDUNIT_value;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_lgcActState;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvObj;UOM_PF_unit;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QmObj;UOM_PF_unit;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QnObj;UOM_PF_unit;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QpDampedObj;UOM_PF_unit;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvDensityObj;UOM_PF_unit;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperature_Obj;UOM_PF_unit;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvPressureObj;UOM_PF_unit;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQvUnit;UNITS_unitsCode;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQmUnit;UNITS_unitsCode;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQnUnit;UNITS_unitsCode;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totEnergyUnit;UNITS_unitsCode;RO;RW;RW;RW
;AI_IDX;AI_IDX_aiSelection;0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvTExtRangeObj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvTExtRangeObj;UOM_PF_value_1;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvPressureRangeRelativeObj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvPressureRangeRelativeObj;UOM_PF_value_1;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvPressureRangeObj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvPressureRangeObj;UOM_PF_value_1;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvDensityRangeObj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvDensityRangeObj;UOM_PF_value_1;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvContentRange;DEV_RNGFLT_hiLim;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvContentRange;DEV_RNGFLT_loLim;RO;RW;RW;RW
;AI_IDX;AI_IDX_aiExternalCutOffOption;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperature_range_Obj;UOM_PF_value_0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperature_range_Obj;UOM_PF_value_1;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_liquidCorrection;0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_volumeExpandBeta1;0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_densityExpandBeta2;0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_heatCapacity;0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_gasDensitySelection;0;RO;RW;RW;RW
