reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 41;;;;
";;;;
";;;;
;_UNIT_TYPES;T_TEMPERATURE;9;SI-Base-Quantities
;_UNIT_TYPES;T_TIME;5;
;_UNIT_TYPES;T_VOLUME;17;
;_UNIT_TYPES;T_MASS_DENSITY;25;Derivatives A
;_UNIT_TYPES;T_SPECIFIC_VOLUME;27;Derivatives A
;_UNIT_TYPES;T_VOLUME_FLOW;39;Derivatives A
;_UNIT_TYPES;T_MASS_FLOW;41;Derivatives A
;_UNIT_TYPES;T_NORMAL_VOLUME_FLOW;42;
;_UNIT_TYPES;T_FREQUENCY;47;
;_UNIT_TYPES;T_PRESSURE;51;Containing special Names
;_UNIT_TYPES;T_POWER;55;Containing special Names
;_T_VOLUME_FLOW;CUBIC_METER_PER_SECOND;13;
;_T_VOLUME_FLOW;CUBIC_METER_PER_MINUTE;14;
;_T_VOLUME_FLOW;CUBIC_METER_PER_HOUR;15;
;_T_VOLUME_FLOW;CUBIC_METER_PER_DAY;16;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_SECOND;29;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_MINUTE;30;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_HOUR;31;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_DAY;32;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_SECOND;35;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_MINUTE;36;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_HOUR;37;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_DAY;38;
;_T_VOLUME_FLOW;LITER_PER_SECOND;48;
;_T_VOLUME_FLOW;LITER_PER_MINUTE;49;
;_T_VOLUME_FLOW;LITER_PER_HOUR;50;
;_T_VOLUME_FLOW;LITER_PER_DAY;51;
;_T_VOLUME_FLOW;KILOLITER_PER_SECOND;52;
;_T_VOLUME_FLOW;HECTOLITER_PER_SECOND;56;
;_T_VOLUME_FLOW;HECTOLITER_PER_MINUTE;57;
;_T_VOLUME_FLOW;HECTOLITER_PER_HOUR;58;
;_T_VOLUME_FLOW;HECTOLITER_PER_DAY;59;
;_T_VOLUME_FLOW;KILOLITER_PER_MINUTE;60;
;_T_VOLUME_FLOW;KILOLITER_PER_HOUR;61;
;_T_VOLUME_FLOW;KILOLITER_PER_DAY;62;
;_T_VOLUME_FLOW;US_GALLON_PER_SECOND;63;
;_T_VOLUME_FLOW;US_GALLON_PER_MINUTE;64;
