reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 22;;;;;
;QnObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnObj;type;;;
;QnObj;value_0;;NUMERIC;
;QnObj;value_1;;;
;QnObj;value_2;;;
;QnObj;value_3;;;
;QnObj;value_4;;;
;QnObj;value_5;;;
;QnObj;value_6;;;
;QnObj;value_7;;;
;QnObj;value_8;;;
;QnObj;value_9;;;
;QnObj;value_10;;;
;QnObj;value_11;;;
;QnObj;value_12;;;
;QnObj;value_13;;;
;QnObj;value_14;;;
;QnObj;value_15;;;
;QnObj;value_16;;;
;QnObj;value_17;;;
;QnObj;value_18;;;
;QnObj;value_19;;;
;QnObj;value_20;;;
;QnDampedObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnDampedObj;type;;;
;QnDampedObj;value_0;;NUMERIC;
;QnDampedObj;value_1;;;
;QnDampedObj;value_2;;;
;QnDampedObj;value_3;;;
;QnDampedObj;value_4;;;
;QnDampedObj;value_5;;;
;QnDampedObj;value_6;;;
;QnDampedObj;value_7;;;
;QnDampedObj;value_8;;;
;QnDampedObj;value_9;;;
;QnDampedObj;value_10;;;
;QnDampedObj;value_11;;;
;QnDampedObj;value_12;;;
;QnDampedObj;value_13;;;
;QnDampedObj;value_14;;;
;QnDampedObj;value_15;;;
;QnDampedObj;value_16;;;
;QnDampedObj;value_17;;;
;QnDampedObj;value_18;;;
;QnDampedObj;value_19;;;
;QnDampedObj;value_20;;;
;QnSimObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnSimObj;type;;;
;QnSimObj;value_0;;NUMERIC;
;QnSimObj;value_1;;;
;QnSimObj;value_2;;;
;QnSimObj;value_3;;;
;QnSimObj;value_4;;;
;QnSimObj;value_5;;;
;QnSimObj;value_6;;;
;QnSimObj;value_7;;;
;QnSimObj;value_8;;;
;QnSimObj;value_9;;;
;QnSimObj;value_10;;;
;QnSimObj;value_11;;;
;QnSimObj;value_12;;;
;QnSimObj;value_13;;;
;QnSimObj;value_14;;;
;QnSimObj;value_15;;;
;QnSimObj;value_16;;;
;QnSimObj;value_17;;;
;QnSimObj;value_18;;;
;QnSimObj;value_19;;;
;QnSimObj;value_20;;;
;QnRangeObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnRangeObj;type;;;
;QnRangeObj;value_0;;NUMERIC;
;QnRangeObj;value_1;;NUMERIC;
;QnRangeObj;value_2;;;
;QnRangeObj;value_3;;;
;QnRangeObj;value_4;;;
;QnRangeObj;value_5;;;
