reserved;object;briefDescription;direction;T_DATA_OBJECT;objectCount;dataClass;storageQualifier
##Module SubGen;;;;;;;
##ModuleRevision 0x020101;;;;;;;
##FileRevision 233;;;;;;;
;Qn;;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QnSimEnable;;CONTAINED;TABENUM8;1;Protected;RAM
;QnSim;;CONTAINED;DNY_FLOAT;1;Unprotected;RAM
;QnDamped;volume flow  after damping;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QnUnitCode;volume flow unit. the default is m3/h;CONTAINED;TABENUM8;1;STATIC_FREQUENT_STATIC_DEFAULT;NON_VOLATILE
;QnUnitType;;CONTAINED;CONST_U8;1;CONSTANT;ROM
;QnObj;an object to combine volume flow and the unit.;CONTAINED;UOM_PF;1;;
;QnDampedObj;;CONTAINED;UOM_PF;1;;
;QnSimObj;;CONTAINED;UOM_PF;1;;
;QnRange;;CONTAINED;DEV_RNGFLT;1;STATIC_FREQUENT_STATIC_DEFAULT;NON_VOLATILE
;QnSimUnitCode;range unit code. of volume flowrate;CONTAINED;TABENUM8;1;Unprotected;RAM
;QnRangeObj;Object to combine the Volume flowrate  upperrange with the Range unit.;CONTAINED;UOM_PF;1;;
;QnMaxDN;the max permission volume flowrate. it always mark on the nameplate.;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QnMaxDNDuplicated;;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QMinDN;;CONTAINED;SIMPLE_FLOAT;1;Unprotected;RAM
;QnMaxDNObj;;CONTAINED;UOM_PF;1;;
;QnPerSim;;CONTAINED;FLOAT;1;Unprotected;RAM
;QnPercentage;The volume flowrate percentage  of the deviceVariable2ax.;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QnClassification;;CONTAINED;SIMPLE_U8;1;Unprotected;READONLY_RAM
;QnStatus;;CONTAINED;SIMPLE_U8;1;Unprotected;RAM
;QnDampingTime;;CONTAINED;FLOAT;1;STATIC_FREQUENT_STATIC_DEFAULT;NON_VOLATILE
;Qm;;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QmSimEnable;;CONTAINED;TABENUM8;1;Protected;RAM
;QmSim;;CONTAINED;DNY_FLOAT;1;Unprotected;RAM
;QmDamped;volume flow  after damping;CONTAINED;SIMPLE_FLOAT;1;DynamicDuplicated;RAM
;QmUnitCode;volume flow unit. the default is m3/h;CONTAINED;TABENUM8;1;STATIC_FREQUENT_STATIC_DEFAULT;NON_VOLATILE
