reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 67;;;;
;STATUS;DISABLE;0;
;STATUS;ENABLE;1;
;ALARM_SIMULATION_TYPE;OFF;0;OFF
;ALARM_SIMULATION_TYPE;Simulate_Digital_Out;2;SIMULATE DIGITAL OUT
;ALARM_SIMULATION_TYPE;VORTEX_SENSOR_FAILURE;4;VORTEX SENSOR FAILURE
;ALARM_SIMULATION_TYPE;TEMP_SENSOR_FAILURE;5;TEMP SENSOR FAILURE
;ALARM_SIMULATION_TYPE;VIBRAT_SENSOR_FAILURE;6;VIBRAT SENSOR FAILURE
;ALARM_SIMULATION_TYPE;ANALOGINPUT_OUT_OF_RANGE;7;ANALOGINPUT OUT OF RANGE
;ALARM_SIMULATION_TYPE;FLOWRATE_REACH_QMAX;8;FLOWRATE REACH QMAX
;ALARM_SIMULATION_TYPE;PROCESS_TEMP_REACH_TMAX;9;PROCESS TEMP REACH TMAX
;ALARM_SIMULATION_TYPE;ANALOGINPUT_CUT_OFF;10;ANALOGINPUT CUT OFF
;ALARM_SIMULATION_TYPE;PRESSURE_REACH_PMAX;11;PRESSURE REACH PMAX
;ALARM_SIMULATION_TYPE;FLOWRATE_REACH_QMIN;14;FLOWRATE REACH QMIN
;ALARM_SIMULATION_TYPE;PROCESS_TEMP_REACH_TMIN;15;PROCESS TEMP REACH TMIN
;ALARM_SIMULATION_TYPE;PRESSURE_REACH_PMIN;17;PRESSURE REACH PMIN
;ALARM_SIMULATION_TYPE;SNR_FAILURE;20;SNR FAILURE
;ALARM_SIMULATION_TYPE;FE_NV_FAILURE;21;SENSOR NV FAILURE
;ALARM_SIMULATION_TYPE;SENSOR_CAL_STATUS;22;SENSOR CAL STATUS
;ALARM_SIMULATION_TYPE;FE_SYNC_MISSING;23;SENSOR SYNC MISSING
;ALARM_SIMULATION_TYPE;FE_BOARD_COMM_ERROR;24;SENSOR COMM ERROR
;ALARM_SIMULATION_TYPE;CB_NV_FAILURE;27;TRANSMITTER NV FAILURE
;ALARM_SIMULATION_TYPE;AI_SPI_COM_FAIL;28;AI SPI COM FAIL
;ALARM_SIMULATION_TYPE;DIGITAL_OUT_CUTOFF;29;PULSE OUT  CUTOFF
;ALARM_SIMULATION_TYPE;RE_OUT_LINEAR_RANGE;30;RE OUT LINEAR RANGE
;ALARM_SIMULATION_TYPE;STEAM_TYPE_MISMATCH;34;STEAM_TYPE_MISMATCH
;ALARM_SIMULATION_TYPE;MAINTENANCE_WARNING;35;MAINTENANCE WARNING
