reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 51;;;;;
;diagClearHistory;;Clear History;ACTION;
;diagSimulationType;;;ENUMERATION;ALARM_SIMULATION_TYPE
;diagFunCheckMask;;;ENUMERATION;STATUS
;diagOffSpecMask;;;ENUMERATION;STATUS
;diagMaintainMask;;;ENUMERATION;STATUS
;diagSimulationStatus;;;ENUMERATION;STATUS
;diagMinFlowMask;;;ENUMERATION;STATUS
;diagMaxFlowMask;;;ENUMERATION;STATUS
;diagFlow103Mask;;;ENUMERATION;STATUS
;PV_PercentageForDO;;;NUMERIC;
;PV_TFCode;;;ENUMERATION;TF_CODE
;PV_ACFlag;;;ENUMERATION;AC_FLAG
;diagTSensorOffSpecMask;;;ENUMERATION;STATUS
;diagTxSensorOffSpecMask;;;ENUMERATION;STATUS
;diagTSensorFailMask;;;ENUMERATION;STATUS
;flowOver103Bhv;;;ENUMERATION;FLOWOVER103_BHV
;dvTExtObj;unit;;ENUMERATION;_T_TEMPERATURE_UNIT
;dvTExtObj;type;;;
;dvTExtObj;value_0;;NUMERIC;
;dvTExtObj;value_1;;;
;dvTExtObj;value_2;;;
;dvTExtObj;value_3;;;
;dvTExtObj;value_4;;;
;dvTExtObj;value_5;;;
;dvTExtObj;value_6;;;
;dvTExtObj;value_7;;;
;dvTExtObj;value_8;;;
;dvTExtObj;value_9;;;
;dvTExtObj;value_10;;;
;dvTExtObj;value_11;;;
;dvTExtObj;value_12;;;
;dvTExtObj;value_13;;;
;dvTExtObj;value_14;;;
;dvTExtObj;value_15;;;
;dvTExtObj;value_16;;;
;dvTExtObj;value_17;;;
;dvTExtObj;value_18;;;
;dvTExtObj;value_19;;;
;dvTExtObj;value_20;;;
;dvTExtSimObj;unit;;ENUMERATION;_T_TEMPERATURE_UNIT
;dvTExtSimObj;type;;;
;dvTExtSimObj;value_0;;NUMERIC;
;dvTExtSimObj;value_1;;;
;dvTExtSimObj;value_2;;;
;dvTExtSimObj;value_3;;;
;dvTExtSimObj;value_4;;;
;dvTExtSimObj;value_5;;;
;dvTExtSimObj;value_6;;;
;dvTExtSimObj;value_7;;;
;dvTExtSimObj;value_8;;;
;dvTExtSimObj;value_9;;;
;dvTExtSimObj;value_10;;;
;dvTExtSimObj;value_11;;;
;dvTExtSimObj;value_12;;;
;dvTExtSimObj;value_13;;;
;dvTExtSimObj;value_14;;;
;dvTExtSimObj;value_15;;;
;dvTExtSimObj;value_16;;;
;dvTExtSimObj;value_17;;;
;dvTExtSimObj;value_18;;;
