reserved;object;briefDescription;direction;T_DATA_OBJECT;objectCount;dataClass;storageQualifier
##Module SubGen;;;;;;;
##ModuleRevision 0x020101;;;;;;;
##FileRevision 184;;;;;;;
;diagFunCheckMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagOffSpecMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagMaintainMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagSimulationStatus;;INOUT;TABENUM8;1;Unprotected;RAM
;diagSimulationType;;INOUT;TABENUM8;1;Unprotected;RAM
;diagnosisSimulation;;INOUT;SIMPLE_U8;16;Unprotected;RAM
;diagClearHistory;;INOUT;ACTION;1;;
;diagMinFlowMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagMaxFlowMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagFlow103Mask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagTSensorOffSpecMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagTxSensorOffSpecMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagTSensorFailMask;;INOUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagLowCutoffMask;;INPUT;TABENUM8;1;STATIC_FREQUENT_CONSTANT_DEFAULT;NON_VOLATILE
;diagDeviceStatus;;INOUT;SIMPLE_U8;6;Unprotected;RAM
;diagnosisHighCondition;;INOUT;SIMPLE_U8;1;Unprotected;RAM
;diagnosisHighClass;;INOUT;SIMPLE_U8;1;Unprotected;RAM
;diagnosisHighGroup;;INOUT;SIMPLE_U8;1;Unprotected;RAM
;diagHistory;;INOUT;SIMPLE_U8;6;Unprotected;RAM
;diagnosisConditionNumber;;INOUT;SIMPLE_U8;1;Unprotected;RAM
;diagnosisConditionDetailsClass;;INPUT;SIMPLE_U8;1;Unprotected;RAM
;diagnosisConditionDetailsGroup;;INPUT;SIMPLE_U8;1;Unprotected;RAM
;diagnosisConditionDetailsPriority;;INPUT;SIMPLE_U8;1;Unprotected;RAM
;diagnosisConditionDetailsAlarmCounter;;INPUT;SIMPLE_U16;1;Unprotected;RAM
