reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte0Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte1Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte2Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiag;MODBUS_DIAG_diagByte2Bit1;RO;RW;RW;RW
