reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 76;;;;
;TModbusConfigurationIEEEEnableState;CONFIGURATION_IEEE_FORMAT_ENABLED;0;IEEE format enabled for word swap
;TModbusConfigurationIEEEEnableState;CONFIGURATION_IEEE_FORMAT_DISABLED;1;IEEE format disabled for word swap
;;IEEE_FORMAT_COUNT;2;Total nof IEE format for WORD swap
;;MAX_SERIAL_ADU_MESSAGE_SIZE;256;Maximum size of a serial based ADU message. This is the PDU with associated slave device id and checksum.
;;MAX_TCP_ADU_MESSAGE_SIZE;260;Maximum size of a TCP based ADU message. This is the PDU with associated TCP information.
;;MAX_PDU_MESSAGE_SIZE;253;Maximum size of a Modbus PDU message buffer in bytes - this is the buffer without any addressing or checksum information
;;MAX_DATA_SIZE;251;Maximum number of data bytes that can fit in a Modbus message buffer
;;COILS_PER_BYTE;8;Maximum number of coils that will fit in a byte
;;BYTES_PER_REGISTER;2;Number of bytes that will fit into a register
;;TCP_PORT;502;Modbus TCP server listening TCP port
;;TCP_MAX_CLIENTS;3;How many Modbus TCP connections can be active at the same time
;;MAX_SIMULTANEOUS_TRANSACTIONS;5;How many transaction can be ongoing at the same How many transaction can be ongoing at the same How many transaction can be ongoing at the same time
;;TCP_ADU_RESEGMENTATION_TIMEOUT_IN_MS;1000;Time for client to provide full Modbus TCP ADU
;T_MB_DIAG_BYTE0;CURRENTOUT_FIXEDMODE_ALARM;0x01;
;T_MB_DIAG_BYTE0;ALM_LGC_SIM_OP1;0x02;
;T_MB_DIAG_BYTE0;ALM_PULS_SIM_OP1;0x04;
;T_MB_DIAG_BYTE0;ALM_LGC_SIM_OP2;0x08;
;T_MB_DIAG_BYTE0;ALM_PULS_SIM_OP2;0x10;
;T_MB_DIAG_BYTE0;ALM_LGC_SIM_OP3;0x20;
;T_MB_DIAG_BYTE0;FLOW_VOLUME_P_MIN_REACHED;0x40;
;T_MB_DIAG_BYTE0;FLOW_VOLUME_P_MAX_REACHED;0x80;
;T_MB_DIAG_BYTE1;FLOW_VOLUME_104P_REACHED;0x01;
;T_MB_DIAG_BYTE1;FLOW_VOLUME_SIMULATION_MODE;0x02;
;T_MB_DIAG_BYTE1;CALIBRATION_TEST_MODE;0x04;
;T_MB_DIAG_BYTE1;TOT_DISPLAY_ALARM;0x08;
;T_MB_DIAG_BYTE1;TOT_ALARM_COUNTER_RESET;0x10;
;T_MB_DIAG_BYTE1;SENSORINTERFACE_INTERMITTENT_COMMUNICATIONS;0x20;
