reserved;type;attribute;basicType;externalType
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 9;;;;
last edited Joachim Lenk;;;;
;T_MODBUS_DIAG;diagByte0Bit0;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit1;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit6;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte0Bit7;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit0;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit1;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit6;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte1Bit7;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit0;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit1;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit6;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte2Bit7;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit0;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit1;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG;diagByte3Bit6;TUSIGN8;TUSIGN8
